#Threads	Array Size	Time0	GOPS0	Time1	GOPS1	T_GOPS1	REPS	BW1	BW2	T_BW	-2147483646	-2147483648	-2147483647	-2147483645	-2147483598	-2147483625	-2147483624	-2147483628	-2147483627	-2147483611	-2147483585	-2147483596	-2147483583	-2147483546	-2147483582
16	 448 	4.48	3.66	4.48	3.66	58.56	" 36,571,428 "	43.86	43.88	702.08	 568 	" 72,431 "	 503 	 173 	" 17,591,244,269 "	" 52,389 "	" 19,334 "	 45 	 28 	" 388,522,065 "	" 71,228 "	 -   	" 72,003 "	 -   	 464 
1	 480 	2.03	8.06	2.02	8.14	8.14	" 34,133,333 "	96.72	97.70	97.70	 538 	" 1,643 "	 446 	 212 	" 17,578,671,795 "	" 1,111 "	 330 	 11 	 10 	" 175,269,428 "	" 1,233 "	 -   	" 1,459 "	 -   	 231 
4	 480 	2.18	7.53	2.17	7.55	30.18	" 34,133,333 "	90.33	90.55	362.20	 403 	" 2,929 "	 482 	 218 	" 17,578,672,332 "	" 1,512 "	" 1,339 "	 10 	 11 	" 195,661,937 "	" 2,431 "	 -   	" 2,880 "	 -   	 285 
8	 480 	2.24	7.32	2.24	7.32	58.56	" 34,133,333 "	87.83	87.84	702.70	 403 	" 1,821 "	 597 	 211 	" 17,578,769,713 "	" 1,131 "	 573 	 15 	 12 	" 204,660,339 "	" 1,459 "	 -   	" 1,978 "	 -   	 309 
12	 480 	4.23	3.88	4.14	3.96	47.54	" 34,133,333 "	46.57	47.52	570.26	 520 	" 46,261 "	 601 	 250 	" 17,580,299,000 "	" 18,705 "	" 11,611 "	 42 	 30 	" 341,561,308 "	" 56,981 "	 36 	" 59,433 "	 36 	 453 
16	 480 	4.48	3.66	4.48	3.66	58.56	" 34,133,333 "	43.89	43.89	702.24	 762 	" 94,554 "	 795 	 180 	" 17,579,099,605 "	" 63,812 "	" 31,013 "	 34 	 21 	" 375,458,075 "	" 93,981 "	 -   	" 94,241 "	 -   	 624 
1	 512 	2.01	8.15	2.02	8.13	8.13	" 32,000,000 "	97.74	97.60	97.60	 602 	" 2,203 "	 458 	 222 	" 17,568,005,374 "	 901 	 891 	 16 	 13 	" 240,546,088 "	" 1,358 "	 -   	" 1,719 "	 -   	 276 
4	 512 	2.17	7.54	2.17	7.56	30.23	" 32,000,000 "	90.51	90.68	362.72	 465 	" 2,230 "	 681 	 262 	" 17,568,005,869 "	" 1,088 "	" 1,038 "	 19 	 15 	" 239,830,027 "	" 1,606 "	 -   	" 1,800 "	 -   	 259 
8	 512 	2.24	7.30	2.24	7.30	58.40	" 32,000,000 "	87.65	87.60	700.77	 699 	" 3,775 "	" 1,832 "	 297 	" 17,569,673,527 "	" 1,269 "	" 1,190 "	 27 	 12 	" 233,893,970 "	" 1,914 "	 -   	" 2,309 "	 -   	 583 
12	 512 	4.03	4.09	4.13	3.98	47.74	" 32,000,000 "	49.13	47.76	573.07	 541 	" 52,542 "	 631 	 258 	" 17,569,607,245 "	" 33,818 "	" 23,022 "	 42 	 36 	" 570,009,482 "	" 54,255 "	 27 	" 45,126 "	 27 	 456 
16	 512 	4.49	3.65	4.49	3.65	58.43	" 32,000,000 "	43.83	43.84	701.44	 949 	" 104,974 "	" 2,019 "	 215 	" 17,568,774,966 "	" 63,268 "	" 36,539 "	 64 	 46 	" 766,793,446 "	" 95,472 "	 1 	" 96,232 "	 1 	" 1,308 "
1	 544 	2.02	8.11	2.00	8.18	8.18	" 30,117,647 "	97.35	98.22	98.22	 595 	" 4,155 "	 448 	 227 	" 17,558,593,568 "	" 1,782 "	" 1,830 "	 11 	 13 	" 226,500,272 "	" 3,173 "	 -   	" 3,618 "	 -   	 293 
4	 544 	2.18	7.52	2.17	7.56	30.24	" 30,117,647 "	90.25	90.67	362.68	 591 	" 3,507 "	 782 	 258 	" 17,558,594,099 "	" 1,520 "	" 1,376 "	 16 	 12 	" 213,745,176 "	" 2,467 "	 -   	" 2,768 "	 -   	 373 
8	 544 	2.24	7.30	2.24	7.30	58.38	" 30,117,647 "	87.54	87.59	700.69	 662 	" 1,858 "	" 1,268 "	 296 	" 17,560,394,345 "	" 1,105 "	 575 	 44 	 34 	" 231,147,308 "	" 1,026 "	 -   	" 1,513 "	 -   	 576 
12	 544 	4.16	3.95	4.15	3.96	47.47	" 30,117,647 "	47.38	47.45	569.38	 916 	" 65,144 "	" 2,252 "	 266 	" 17,560,043,161 "	" 30,605 "	" 13,958 "	 50 	 33 	" 562,391,656 "	" 57,929 "	 187 	" 34,227 "	 187 	 808 
16	 544 	4.49	3.65	4.49	3.65	58.34	" 30,117,647 "	43.76	43.76	700.10	" 1,743 "	" 106,441 "	" 8,426 "	 238 	" 17,559,916,561 "	" 69,076 "	" 26,029 "	 77 	 46 	" 707,146,551 "	" 99,163 "	 -   	" 103,063 "	 -   	" 1,597 "
1	 576 	2.02	8.09	2.01	8.17	8.17	" 28,444,444 "	97.13	98.02	98.02	 665 	" 2,291 "	 681 	 212 	" 17,550,227,316 "	" 1,234 "	 919 	 13 	 14 	" 216,131,259 "	" 1,847 "	 -   	" 2,361 "	 -   	 331 
4	 576 	2.18	7.50	2.18	7.53	30.11	" 28,444,444 "	89.99	90.34	361.38	 489 	" 3,622 "	 709 	 219 	" 17,550,227,860 "	" 2,581 "	" 1,097 "	 23 	 15 	" 208,836,119 "	" 3,466 "	 -   	" 3,604 "	 -   	 391 
8	 576 	2.24	7.30	2.25	7.30	58.40	" 28,444,444 "	87.63	87.58	700.64	 714 	" 2,364 "	" 2,760 "	 262 	" 17,551,668,128 "	" 1,623 "	 947 	 52 	 34 	" 207,371,690 "	" 1,388 "	 -   	" 1,737 "	 -   	 805 
12	 576 	4.00	4.12	4.10	4.00	47.98	" 28,444,444 "	49.35	47.99	575.93	" 1,398 "	" 63,710 "	" 7,907 "	 274 	" 17,552,029,509 "	" 31,333 "	" 17,653 "	 52 	 36 	" 513,073,926 "	" 63,392 "	 22 	" 49,484 "	 22 	 675 
16	 576 	4.50	3.64	4.49	3.65	58.43	" 28,444,444 "	43.76	43.80	700.86	" 1,746 "	" 129,779 "	" 3,684 "	 249 	" 17,551,490,695 "	" 91,397 "	" 37,575 "	 94 	 54 	" 701,031,764 "	" 122,536 "	 2 	" 122,351 "	 2 	" 1,591 "
1	 608 	2.02	8.12	2.02	8.11	8.11	" 26,947,368 "	97.46	97.32	97.32	 611 	" 2,786 "	 474 	 210 	" 17,542,742,005 "	" 1,821 "	 713 	 13 	 14 	" 200,774,191 "	" 1,986 "	 -   	" 2,258 "	 -   	 395 
4	 608 	2.18	7.53	2.17	7.55	30.20	" 26,947,368 "	90.33	90.60	362.40	 549 	" 3,004 "	 906 	 228 	" 17,542,758,876 "	" 1,751 "	" 1,062 "	 15 	 12 	" 193,640,544 "	" 2,333 "	 -   	" 2,898 "	 -   	 443 
8	 608 	2.24	7.30	2.24	7.31	58.45	" 26,947,368 "	87.58	87.63	701.07	 632 	" 2,984 "	" 1,050 "	 274 	" 17,544,542,771 "	" 1,728 "	" 1,209 "	 42 	 33 	" 196,114,054 "	" 2,026 "	 -   	" 2,869 "	 -   	 613 
12	 608 	4.03	4.07	4.06	4.05	48.60	" 26,947,368 "	48.83	48.58	582.91	 967 	" 68,485 "	" 5,246 "	 271 	" 17,544,543,987 "	" 53,839 "	" 30,604 "	 46 	 33 	" 396,360,146 "	" 50,412 "	 75 	" 69,225 "	 75 	 503 
16	 608 	4.48	3.65	4.49	3.65	58.43	" 26,947,368 "	43.84	43.84	701.41	 958 	" 136,154 "	" 3,822 "	 232 	" 17,543,857,878 "	" 82,928 "	" 40,600 "	 55 	 34 	" 688,382,175 "	" 123,877 "	 -   	" 121,035 "	 -   	 827 
1	 640 	2.03	8.10	2.03	8.09	8.09	" 25,600,000 "	97.17	97.05	97.05	 647 	" 2,642 "	 348 	 205 	" 17,536,005,454 "	" 1,844 "	 533 	 7 	 7 	" 194,615,140 "	" 2,004 "	 -   	" 2,359 "	 -   	 258 
4	 640 	2.18	7.53	2.17	7.55	30.19	" 25,600,000 "	90.40	90.57	362.27	 376 	" 3,777 "	 395 	 205 	" 17,536,194,479 "	" 2,190 "	" 1,387 "	 9 	 9 	" 192,526,242 "	" 3,146 "	 -   	" 3,440 "	 -   	 265 
8	 640 	2.29	7.17	2.31	7.10	56.80	" 25,600,000 "	86.03	85.18	681.46	 635 	" 4,490 "	" 1,209 "	 232 	" 17,536,556,834 "	" 2,338 "	" 1,607 "	 16 	 16 	" 181,494,371 "	" 3,289 "	 -   	" 6,337 "	 -   	 532 
12	 640 	4.29	3.82	4.27	3.84	46.10	" 25,600,000 "	45.84	46.10	553.18	 846 	" 93,961 "	 644 	 245 	" 17,537,631,435 "	" 37,042 "	" 14,651 "	 45 	 35 	" 419,439,056 "	" 80,036 "	 3 	" 85,893 "	 3 	 611 
16	 640 	4.51	3.63	4.49	3.65	58.37	" 25,600,000 "	43.54	43.81	700.90	 932 	" 177,539 "	 598 	 185 	" 17,536,407,889 "	" 118,399 "	" 54,903 "	 31 	 16 	" 644,194,897 "	" 156,196 "	 -   	" 155,828 "	 -   	 756 
1	 672 	2.06	7.98	2.01	8.14	8.14	" 24,380,952 "	95.70	97.71	97.71	 649 	" 3,468 "	 426 	 202 	" 17,529,910,024 "	" 1,754 "	" 1,298 "	 13 	 10 	" 154,547,366 "	" 2,716 "	 -   	" 3,178 "	 -   	 334 
4	 672 	2.23	7.35	2.24	7.33	29.33	" 24,380,952 "	88.18	87.97	351.89	 471 	" 2,756 "	 432 	 204 	" 17,529,993,686 "	" 1,910 "	 613 	 11 	 13 	" 124,933,258 "	" 2,192 "	 -   	" 2,581 "	 -   	 356 
8	 672 	2.33	7.03	2.35	6.97	55.76	" 24,380,952 "	84.40	83.65	669.18	 657 	" 3,017 "	 848 	 238 	" 17,530,937,584 "	" 1,586 "	 653 	 40 	 24 	" 152,298,743 "	" 1,265 "	 -   	" 2,028 "	 -   	 552 
12	 672 	4.19	3.92	4.40	3.72	44.66	" 24,380,952 "	47.04	44.67	536.02	 806 	" 82,511 "	 821 	 252 	" 17,531,532,003 "	" 72,947 "	" 25,780 "	 43 	 33 	" 320,559,755 "	" 87,750 "	 -   	" 70,559 "	 -   	 729 
16	 672 	4.60	3.56	4.57	3.59	57.38	" 24,380,952 "	42.72	43.03	688.42	 786 	" 177,149 "	 901 	 209 	" 17,531,093,885 "	" 111,635 "	" 51,993 "	 40 	 29 	" 637,291,818 "	" 153,361 "	 -   	" 154,172 "	 -   	 709 
1	 704 	2.45	7.17	2.09	7.86	7.86	" 23,272,727 "	86.05	94.26	94.26	" 2,854 "	" 13,264 "	 798 	 220 	" 17,524,369,059 "	" 3,699 "	" 1,181 "	 12 	 7 	" 171,241,593 "	" 4,387 "	 135 	" 4,615 "	 135 	 312 
4	 704 	2.23	7.37	2.20	7.43	29.72	" 23,272,727 "	88.44	89.16	356.65	 457 	" 4,048 "	 564 	 216 	" 17,524,549,516 "	" 2,255 "	" 1,594 "	 16 	 14 	" 150,401,466 "	" 2,995 "	 -   	" 3,080 "	 -   	 370 
8	 704 	2.32	7.07	2.32	7.08	56.61	" 23,272,727 "	84.84	84.91	679.26	 632 	" 3,815 "	" 1,367 "	 231 	" 17,525,220,586 "	" 2,267 "	 821 	 22 	 18 	" 148,319,894 "	" 3,062 "	 -   	" 3,329 "	 -   	 500 
12	 704 	4.32	3.79	4.20	3.92	47.09	" 23,272,727 "	45.55	47.08	564.98	" 1,169 "	" 103,595 "	 981 	 258 	" 17,526,171,114 "	" 34,174 "	" 16,062 "	 48 	 32 	" 385,391,702 "	" 94,997 "	 -   	" 82,144 "	 -   	 920 
